date,open,high,low,close,volume,return,ticker
2024-05-23,77700,79100,77100,78300,18728087,0.7722007722007722,005930
2024-05-24,76800,77000,75700,75900,27891278,-3.065134099616858,005930
2024-05-27,75300,78200,74000,77200,43825202,1.7127799736495388,005930
2024-05-28,76500,78000,76200,77600,18539072,0.5181347150259068,005930
2024-05-29,77700,78200,75200,75200,30244875,-3.0927835051546393,005930
2024-05-30,74800,75200,73500,73500,28551273,-2.2606382978723407,005930
2024-05-31,74500,74700,73500,73500,26198776,0.0,005930
2024-06-03,74400,76400,74200,75700,15706268,2.9931972789115644,005930
2024-06-04,74900,76100,74900,75300,14098053,-0.5284015852047557,005930
2024-06-05,78000,78000,76800,77400,23177968,2.788844621513944,005930
2024-06-07,78400,78600,77100,77300,21189349,-0.12919896640826875,005930
2024-06-10,76100,76600,75600,75700,14598755,-2.069857697283312,005930
2024-06-11,75900,76000,75100,75200,16971175,-0.6605019815059445,005930
2024-06-12,75300,77100,75200,76500,19246725,1.7287234042553192,005930
2024-06-13,78400,79000,77800,78600,33763804,2.7450980392156863,005930
2024-06-14,79700,80500,79000,79600,22926612,1.2722646310432568,005930
2024-06-17,79200,79500,78000,78100,16123051,-1.8844221105527637,005930
2024-06-18,78700,80200,78600,79800,18207598,2.176696542893726,005930
2024-06-19,81100,82500,80500,81200,24168863,1.7543859649122806,005930
2024-06-20,81500,82200,81200,81600,20288913,0.49261083743842365,005930
2024-06-21,80700,80800,80000,80000,17907523,-1.9607843137254901,005930
2024-06-24,79700,80900,79500,80600,15454227,0.75,005930
2024-06-25,80600,81800,80100,80800,19088458,0.24813895781637718,005930
2024-06-26,80100,81400,79900,81300,17783242,0.6188118811881188,005930
2024-06-27,81300,81600,80500,81600,11739720,0.36900369003690037,005930
2024-06-28,81900,81900,80800,81500,9455929,-0.12254901960784313,005930
2024-07-01,81500,82100,81300,81800,11317202,0.36809815950920244,005930
2024-07-02,82500,82600,81500,81800,14471904,0.0,005930
2024-07-03,82300,82300,81000,81800,11440328,0.0,005930
2024-07-04,82900,84700,82400,84600,43857229,3.4229828850855744,005930
2024-07-05,85600,87100,85200,87100,45791193,2.955082742316785,005930
2024-07-08,87900,88600,86900,87400,24035809,0.3444316877152698,005930
2024-07-09,87800,88200,86900,87800,21336201,0.4576659038901602,005930
2024-07-10,87600,88000,87100,87800,17813847,0.0,005930
2024-07-11,88500,88800,86700,87600,24677608,-0.22779043280182232,005930
2024-07-12,85900,86100,84100,84400,26344386,-3.65296803652968,005930
2024-07-15,84700,87300,84100,86700,25193080,2.7251184834123223,005930
2024-07-16,86900,88000,86700,87700,16166688,1.1534025374855825,005930
2024-07-17,87100,88000,86400,86700,18186490,-1.1402508551881414,005930
2024-07-18,83800,86900,83800,86900,24721790,0.2306805074971165,005930
2024-07-19,85600,86100,84100,84400,18569122,-2.8768699654775602,005930
2024-07-22,84400,84900,82600,83000,18987560,-1.6587677725118484,005930
2024-07-23,84200,84700,83400,83900,15766389,1.0843373493975903,005930
2024-07-24,82900,83300,81900,82000,16939083,-2.264600715137068,005930
2024-07-25,80400,81000,80100,80400,20323811,-1.951219512195122,005930
2024-07-26,80700,81300,80400,80900,14508334,0.6218905472636816,005930
2024-07-29,81600,82000,81100,81200,12797136,0.3708281829419036,005930
2024-07-30,80400,81000,80000,81000,13169636,-0.24630541871921183,005930
2024-07-31,81200,83900,80900,83900,20744323,3.580246913580247,005930
2024-08-01,86000,86100,83100,83100,20900338,-0.9535160905840285,005930
2024-08-02,81000,81400,79500,79600,25800275,-4.21179302045728,005930
2024-08-05,76700,76900,70200,71400,54608790,-10.301507537688442,005930
2024-08-06,74900,75300,72300,72500,47295226,1.5406162464985995,005930
2024-08-07,73000,76000,72800,74700,32710428,3.0344827586206895,005930
2024-08-08,73200,73900,72500,73400,28414729,-1.7402945113788488,005930
2024-08-09,75700,75800,74200,74700,16388222,1.7711171662125342,005930
2024-08-12,75200,75900,74800,75500,9839259,1.07095046854083,005930
2024-08-13,76500,76600,75500,76100,10716261,0.7947019867549668,005930
2024-08-14,77400,77800,77000,77200,13246168,1.445466491458607,005930
2024-08-16,79400,80200,78700,80200,22061478,3.8860103626943006,005930
2024-08-19,80100,80100,78000,78300,14146565,-2.369077306733167,005930
2024-08-20,79500,79800,78700,78900,10683836,0.7662835249042145,005930
2024-08-21,77900,78600,77800,78300,7805598,-0.7604562737642585,005930
2024-08-22,78700,78900,77800,78300,8149101,0.0,005930
2024-08-23,77700,78400,77500,77700,9420306,-0.7662835249042145,005930
2024-08-26,78100,78200,76000,76100,15655938,-2.0592020592020592,005930
2024-08-27,75700,76500,75600,75800,11130145,-0.39421813403416556,005930
2024-08-28,75800,76400,75400,76400,9794514,0.79155672823219,005930
2024-08-29,73600,74700,73500,74000,16884479,-3.1413612565445024,005930
2024-08-30,74400,75000,74100,74300,16358520,0.40540540540540543,005930
2024-09-02,74500,74700,73500,74400,12641376,0.13458950201884254,005930
2024-09-03,74100,74300,72500,72500,16314599,-2.553763440860215,005930
2024-09-04,69800,71100,69800,70000,27366563,-3.4482758620689653,005930
2024-09-05,70100,71200,69000,69000,25686769,-1.4285714285714286,005930
2024-09-06,69100,69700,68000,68900,19022299,-0.14492753623188406,005930
2024-09-09,66900,68200,66600,67500,23263298,-2.0319303338171264,005930
2024-09-10,67000,67300,66000,66200,30651376,-1.925925925925926,005930
2024-09-11,65100,65500,64200,64900,35809707,-1.9637462235649545,005930
2024-09-12,66000,66600,65200,66300,35884106,2.157164869029276,005930
2024-09-13,65000,65500,64300,64400,25045135,-2.865761689291101,005930
2024-09-19,64000,64400,62200,63100,49402713,-2.018633540372671,005930
2024-09-20,63800,64700,63000,63000,32746056,-0.15847860538827258,005930
2024-09-23,62300,63500,62200,62600,28542376,-0.6349206349206349,005930
2024-09-24,62800,63400,62400,63200,26957500,0.9584664536741214,005930
2024-09-25,63800,64200,62200,62200,28652438,-1.5822784810126582,005930
2024-09-26,63900,64900,63700,64700,37566015,4.019292604501608,005930
2024-09-27,64700,65400,64200,64200,28433030,-0.7727975270479135,005930
2024-09-30,64200,64300,61500,61500,32694163,-4.205607476635514,005930
2024-10-02,60500,61900,59900,61300,28473536,-0.3252032520325203,005930
2024-10-04,61000,61700,60500,60600,24247578,-1.1419249592169658,005930
2024-10-07,60200,61900,59500,61000,35066533,0.6600660066006601,005930
2024-10-08,60000,61000,59900,60300,27411786,-1.1475409836065573,005930
2024-10-10,60100,60200,58900,58900,45262214,-2.321724709784411,005930
2024-10-11,59100,60100,59000,59300,29623969,0.6791171477079796,005930
2024-10-14,59500,61200,59400,60800,20886249,2.5295109612141653,005930
2024-10-15,61100,61400,60100,61000,22715239,0.3289473684210526,005930
2024-10-16,59400,60000,59200,59500,23303268,-2.459016393442623,005930
2024-10-17,59400,60100,59100,59700,23372873,0.33613445378151263,005930
2024-10-18,59900,60100,59100,59200,14420260,-0.8375209380234505,005930
2024-10-21,59000,59600,58500,59000,18514905,-0.33783783783783783,005930
2024-10-22,58800,58900,57700,57700,27582527,-2.2033898305084745,005930
2024-10-23,57500,60000,57100,59100,27300780,2.4263431542461005,005930
2024-10-24,58200,58500,56600,56600,31499922,-4.230118443316413,005930
2024-10-25,56000,56900,55800,55900,25829315,-1.2367491166077738,005930
2024-10-28,55700,58500,55700,58100,27775009,3.9355992844364938,005930
2024-10-29,58000,59600,57300,59600,28369314,2.5817555938037864,005930
2024-10-30,59100,59800,58600,59100,19838511,-0.8389261744966443,005930
2024-10-31,58500,61200,58300,59200,35809196,0.1692047377326565,005930
2024-11-01,59000,59600,58100,58300,19083180,-1.5202702702702704,005930
2024-11-04,58600,59400,58400,58700,15586947,0.6861063464837049,005930
2024-11-05,57800,58100,57200,57600,17484474,-1.8739352640545146,005930
2024-11-06,57600,58000,56300,57300,22092218,-0.5208333333333333,005930
2024-11-07,56900,58100,56800,57500,17043102,0.34904013961605584,005930
2024-11-08,58000,58300,57000,57000,13877396,-0.8695652173913043,005930
2024-11-11,56700,56800,55000,55000,29811326,-3.508771929824561,005930
2024-11-12,54600,54600,53000,53000,37962881,-3.6363636363636362,005930
2024-11-13,52000,53000,50500,50600,52527995,-4.528301886792453,005930
2024-11-14,50200,51800,49900,49900,48510715,-1.383399209486166,005930
2024-11-15,50300,54200,50300,53500,46774485,7.214428857715431,005930
2024-11-18,57000,57500,55900,56700,48095234,5.981308411214954,005930
2024-11-19,56500,57500,55900,56300,31539632,-0.7054673721340388,005930
2024-11-20,56100,56500,54800,55300,20864667,-1.7761989342806392,005930
2024-11-21,54900,56900,54700,56400,19096850,1.9891500904159132,005930
2024-11-22,56000,56700,55900,56000,15281543,-0.7092198581560284,005930
2024-11-25,57400,57900,56700,57900,36237325,3.392857142857143,005930
2024-11-26,57900,58900,57500,58300,23209405,0.690846286701209,005930
2024-11-27,57700,57800,56000,56300,21808387,-3.430531732418525,005930
2024-11-28,56000,56400,55200,55500,20001134,-1.4209591474245116,005930
2024-11-29,55100,55300,53800,54200,24513531,-2.3423423423423424,005930
2024-12-02,54300,54400,53100,53600,22044867,-1.107011070110701,005930
2024-12-03,53100,54400,53100,53600,23374603,0.0,005930
2024-12-04,52000,53400,52000,53100,29004766,-0.9328358208955223,005930
2024-12-05,53200,54400,53200,53700,23588277,1.1299435028248588,005930
2024-12-06,53900,54400,52700,54100,22861874,0.74487895716946,005930
2024-12-09,53500,54600,53200,53400,26227680,-1.2939001848428837,005930
2024-12-10,54500,54500,53700,54000,20783970,1.1235955056179776,005930
2024-12-11,53600,54200,53400,54000,14565947,0.0,005930
2024-12-12,54000,56500,53900,55900,33476698,3.5185185185185186,005930
2024-12-13,55800,56300,55500,56100,15908823,0.35778175313059035,005930
2024-12-16,56300,56600,55200,55600,15277277,-0.8912655971479502,005930
2024-12-17,54700,55200,54000,54200,20215230,-2.5179856115107913,005930
2024-12-18,54100,55400,54000,54900,13698937,1.2915129151291513,005930
2024-12-19,53500,53800,53100,53100,22481925,-3.278688524590164,005930
2024-12-20,52700,53100,51900,53000,24674774,-0.18832391713747645,005930
2024-12-23,53400,54000,53300,53500,13672650,0.9433962264150944,005930
2024-12-24,53700,54500,53600,54400,11634677,1.6822429906542056,005930
2024-12-26,54500,54600,53500,53600,10517075,-1.4705882352941175,005930
2024-12-27,53500,54100,53200,53700,10747196,0.18656716417910446,005930
